date,open,high,low,close,volume
2020-09-14T02:15,13.87,13.87,13.87,13.87,200
2020-09-14T02:17,13.89,13.89,13.89,13.89,800
2020-09-14T02:31,13.9,13.9,13.9,13.9,10
2020-09-14T02:51,13.92,13.92,13.92,13.92,300
2020-09-14T03:02,13.96,13.96,13.96,13.96,250
2020-09-14T03:41,13.93,13.93,13.93,13.93,600
2020-09-14T03:43,13.93,13.93,13.93,13.93,100
2020-09-14T03:45,13.93,13.93,13.93,13.93,100
2020-09-14T03:58,13.9,13.9,13.9,13.9,5250
2020-09-14T04:09,13.91,13.91,13.91,13.91,150
2020-09-14T04:27,13.94,13.94,13.94,13.94,1150
2020-09-14T06:01,13.95,13.95,13.94,13.94,95650
2020-09-14T06:03,13.95,13.95,13.95,13.95,40000
2020-09-14T06:04,13.95,13.95,13.95,13.95,1000
2020-09-14T06:12,13.95,13.95,13.95,13.95,70
2020-09-14T06:48,13.91,13.91,13.91,13.91,1000
2020-09-14T07:02,13.91,13.91,13.91,13.91,4560
2020-09-14T07:08,13.95,13.95,13.95,13.95,10
2020-09-14T07:19,13.92,13.92,13.92,13.92,1870
2020-09-14T07:46,13.95,13.95,13.95,13.95,270
2020-09-15T02:15,13.9,13.9,13.9,13.9,1010
2020-09-15T02:35,13.93,13.93,13.93,13.93,17090
2020-09-15T02:38,13.93,13.93,13.93,13.93,2000
2020-09-15T02:46,13.93,13.93,13.93,13.93,1000
2020-09-15T03:05,13.91,13.91,13.91,13.91,7700
2020-09-15T03:06,13.92,13.92,13.92,13.92,140
2020-09-15T03:17,13.93,13.93,13.93,13.93,10
2020-09-15T03:18,13.95,13.95,13.95,13.95,50
2020-09-15T03:21,13.95,13.95,13.95,13.95,20
2020-09-15T03:29,13.95,13.95,13.95,13.95,1080
2020-09-15T03:36,13.97,13.97,13.97,13.97,60
2020-09-15T03:39,13.95,13.95,13.95,13.95,200
2020-09-15T03:40,13.96,13.96,13.96,13.96,1430
2020-09-15T03:55,13.97,13.97,13.97,13.97,1260
2020-09-15T03:59,13.96,13.96,13.96,13.96,2060
2020-09-15T04:08,13.96,13.96,13.96,13.96,1000
2020-09-15T04:10,13.95,13.95,13.95,13.95,300
2020-09-15T04:14,13.96,13.96,13.96,13.96,300
2020-09-15T04:18,13.96,13.96,13.96,13.96,550
2020-09-15T06:00,13.97,13.97,13.97,13.97,760
2020-09-15T06:02,13.97,13.97,13.97,13.97,990
2020-09-15T06:14,13.97,13.97,13.97,13.97,1770
2020-09-15T06:16,13.97,13.97,13.97,13.97,3700
2020-09-15T06:19,13.97,13.97,13.97,13.97,2000
2020-09-15T06:21,13.96,13.96,13.96,13.96,1440
2020-09-15T06:31,13.97,13.97,13.97,13.97,100000
2020-09-15T06:32,13.97,13.97,13.97,13.97,40000
2020-09-15T06:33,13.97,13.97,13.97,13.97,2810
2020-09-15T06:40,13.97,13.97,13.97,13.97,1000
2020-09-15T06:56,13.97,13.97,13.97,13.97,920
2020-09-15T07:05,13.97,13.97,13.97,13.97,30
2020-09-15T07:10,13.97,13.97,13.97,13.97,40
2020-09-15T07:14,13.96,13.96,13.96,13.96,1000
2020-09-15T07:17,13.95,13.95,13.94,13.94,820
2020-09-15T07:46,13.97,13.97,13.97,13.97,200
2020-09-16T02:15,13.97,13.97,13.97,13.97,680
2020-09-16T02:16,13.97,13.97,13.96,13.97,230
2020-09-16T02:18,13.95,13.95,13.95,13.95,5000
2020-09-16T02:20,13.95,13.95,13.95,13.95,2000
2020-09-16T02:23,13.96,13.96,13.96,13.96,50
2020-09-16T02:32,13.93,13.93,13.93,13.93,1040
2020-09-16T02:33,13.93,13.93,13.93,13.93,200
2020-09-16T02:52,13.94,13.94,13.94,13.94,30
2020-09-16T02:55,13.95,13.95,13.95,13.95,10
2020-09-16T02:56,13.94,13.94,13.94,13.94,400
2020-09-16T02:59,13.94,13.94,13.94,13.94,4610
2020-09-16T03:05,13.95,13.95,13.95,13.95,2090
2020-09-16T03:11,13.95,13.95,13.95,13.95,90
2020-09-16T03:14,13.95,13.95,13.95,13.95,310
2020-09-16T03:32,13.96,13.96,13.96,13.96,240
2020-09-16T03:33,13.96,13.96,13.96,13.96,260
2020-09-16T03:46,13.96,13.96,13.96,13.96,1000
2020-09-16T04:08,13.96,13.96,13.96,13.96,2000
2020-09-16T04:16,13.96,13.96,13.96,13.96,100
2020-09-16T06:00,13.96,13.96,13.96,13.96,20
2020-09-16T06:02,13.93,13.93,13.93,13.93,680
2020-09-16T06:24,13.93,13.93,13.93,13.93,1390
2020-09-16T06:36,13.96,13.96,13.96,13.96,250
2020-09-16T06:44,13.94,13.94,13.94,13.94,500
2020-09-16T07:04,13.96,13.96,13.96,13.96,200
2020-09-16T07:06,13.96,13.96,13.96,13.96,300
2020-09-16T07:46,14,14,14,14,600
2020-09-17T02:15,14,14,14,14,2950
2020-09-17T02:18,13.96,13.96,13.96,13.96,230
2020-09-17T02:19,13.97,13.97,13.96,13.96,200
2020-09-17T02:34,13.96,13.96,13.96,13.96,200
2020-09-17T02:38,13.96,13.96,13.96,13.96,100
2020-09-17T02:41,13.96,13.96,13.96,13.96,750
2020-09-17T03:03,13.97,13.97,13.97,13.97,103000
2020-09-17T03:09,13.99,13.99,13.99,13.99,2000
2020-09-17T03:16,13.99,13.99,13.99,13.99,95000
2020-09-17T04:25,14,14,14,14,1000
2020-09-17T06:00,14,14,14,14,1810
2020-09-17T06:02,14,14,14,14,1890
2020-09-17T06:13,14,14,14,14,50
2020-09-17T06:20,13.98,13.98,13.98,13.98,200
2020-09-17T06:33,13.95,13.95,13.95,13.95,100000
2020-09-17T06:35,13.93,13.93,13.93,13.93,600
2020-09-17T06:53,13.91,13.91,13.91,13.91,10000
2020-09-17T06:54,13.94,13.94,13.94,13.94,80
2020-09-17T06:58,13.92,13.92,13.92,13.92,99920
2020-09-17T07:01,13.92,13.92,13.92,13.92,4380
2020-09-17T07:03,13.93,13.93,13.93,13.93,400
2020-09-17T07:46,14,14,14,14,210
2020-09-18T02:15,14.04,14.04,14.04,14.04,100
2020-09-18T02:18,14.02,14.02,14.02,14.02,160
2020-09-18T02:21,14,14,14,14,1110
2020-09-18T02:22,14,14,14,14,400
2020-09-18T02:26,14,14,14,14,670
2020-09-18T02:39,14.01,14.01,14.01,14.01,1000
2020-09-18T02:49,14,14,14,14,30
2020-09-18T02:50,14,14,14,14,500
2020-09-18T02:55,14,14,14,14,500
2020-09-18T03:09,14.02,14.02,14.01,14.01,104000
2020-09-18T03:13,14.02,14.02,14.02,14.02,97320
2020-09-18T03:15,14.02,14.02,14.02,14.02,80000
2020-09-18T03:16,14.02,14.02,14.02,14.02,2000
2020-09-18T03:20,14.02,14.02,14.02,14.02,260
2020-09-18T03:25,14.02,14.02,14.02,14.02,143000
2020-09-18T03:37,14.03,14.03,14.03,14.03,103680
2020-09-18T03:38,14.02,14.03,14.02,14.03,92000
2020-09-18T03:40,14.04,14.04,14.04,14.04,890
2020-09-18T03:45,14.04,14.04,14.04,14.04,30000
2020-09-18T03:57,14.05,14.05,14.05,14.05,103680
2020-09-18T04:01,14.05,14.05,14.05,14.05,4260
2020-09-18T04:10,14.05,14.05,14.05,14.05,45740
2020-09-18T06:00,14.05,14.05,14.05,14.05,580
2020-09-18T06:01,14.05,14.05,14.05,14.05,9640
2020-09-18T06:05,14.04,14.04,14.04,14.04,4000
2020-09-18T06:16,14.07,14.07,14.07,14.07,95430
2020-09-18T06:17,14.07,14.07,14.07,14.07,60000
2020-09-18T06:18,14.06,14.06,14.06,14.06,6620
2020-09-18T06:33,14.04,14.04,14.04,14.04,200
2020-09-18T06:39,14.04,14.04,14.04,14.04,109840
2020-09-18T06:47,14.04,14.04,14.04,14.04,70
2020-09-18T06:49,14.05,14.05,14.05,14.05,40
2020-09-18T06:50,14.06,14.06,14.06,14.06,96280
2020-09-18T06:52,14.06,14.06,14.06,14.06,300
2020-09-18T06:56,14.06,14.06,14.06,14.06,500
2020-09-18T06:58,14.09,14.09,14.09,14.09,4870
2020-09-18T07:07,14.09,14.09,14.09,14.09,3100
2020-09-18T07:09,14.1,14.1,14.1,14.1,36930
2020-09-18T07:11,14.1,14.1,14.1,14.1,2200
2020-09-18T07:12,14.1,14.1,14.1,14.1,10000
2020-09-18T07:13,14.1,14.1,14.1,14.1,20000
2020-09-18T07:15,14.1,14.1,14.1,14.1,10000
2020-09-18T07:16,14.1,14.1,14.1,14.1,59240
2020-09-18T07:22,14.12,14.12,14.12,14.12,30000
2020-09-18T07:28,14.15,14.15,14.15,14.15,790
2020-09-18T07:29,14.2,14.2,14.2,14.2,5130
2020-09-18T07:46,14.2,14.2,14.2,14.2,280
2020-09-21T02:15,14.3,14.3,14.3,14.3,2930
2020-09-21T02:18,14.2,14.24,14.2,14.24,1980
2020-09-21T02:20,14.2,14.2,14.2,14.2,5250
2020-09-21T02:41,14.22,14.22,14.22,14.22,310
2020-09-21T02:46,14.24,14.24,14.24,14.24,200000
2020-09-21T02:47,14.24,14.24,14.24,14.24,60000
2020-09-21T02:48,14.24,14.24,14.23,14.23,35000
2020-09-21T02:49,14.24,14.24,14.24,14.24,103680
2020-09-21T02:50,14.24,14.24,14.24,14.24,300
2020-09-21T02:52,14.23,14.23,14.23,14.23,5000
2020-09-21T02:53,14.23,14.23,14.23,14.23,5000
2020-09-21T03:23,14.24,14.24,14.24,14.24,104730
2020-09-21T03:24,14.24,14.24,14.24,14.24,36000
2020-09-21T03:36,14.28,14.28,14.28,14.28,850
2020-09-21T03:39,14.24,14.24,14.24,14.24,2620
2020-09-21T03:51,14.25,14.25,14.25,14.25,3000
2020-09-21T03:54,14.25,14.25,14.25,14.25,12000
2020-09-21T03:57,14.25,14.25,14.25,14.25,260
2020-09-21T03:58,14.25,14.25,14.25,14.25,10680
2020-09-21T04:04,14.24,14.24,14.24,14.24,1210
2020-09-21T04:05,14.24,14.24,14.24,14.24,1000
2020-09-21T04:06,14.24,14.24,14.24,14.24,1000
2020-09-21T04:26,14.23,14.23,14.23,14.23,7300
2020-09-21T06:00,14.24,14.24,14.24,14.24,1500
2020-09-21T06:09,14.24,14.24,14.24,14.24,103680
2020-09-21T06:10,14.24,14.24,14.24,14.24,95820
2020-09-21T06:25,14.25,14.25,14.25,14.25,2260
2020-09-21T06:26,14.25,14.25,14.25,14.25,10000
2020-09-21T06:43,14.25,14.25,14.25,14.25,103680
2020-09-21T06:48,14.26,14.26,14.26,14.26,60000
2020-09-21T06:49,14.26,14.26,14.26,14.26,30000
2020-09-21T06:57,14.26,14.26,14.26,14.26,11000
2020-09-21T06:59,14.25,14.25,14.24,14.24,30020
2020-09-21T07:04,14.26,14.26,14.26,14.26,300
2020-09-21T07:05,14.25,14.25,14.25,14.25,1000
2020-09-21T07:06,14.25,14.25,14.25,14.25,9000
2020-09-21T07:07,14.23,14.23,14.23,14.23,2710
2020-09-21T07:08,14.24,14.24,14.24,14.24,5000
2020-09-21T07:14,14.23,14.23,14.23,14.23,103680
2020-09-21T07:20,14.24,14.24,14.24,14.24,1500
2020-09-21T07:22,14.24,14.26,14.24,14.26,35500
2020-09-21T07:26,14.24,14.24,14.24,14.24,5000
2020-09-21T07:46,14.28,14.28,14.28,14.28,450
2020-09-22T02:26,14.18,14.18,14.18,14.18,340
2020-09-22T02:27,14.19,14.19,14.19,14.19,100
2020-09-22T02:30,14.21,14.21,14.21,14.21,5000
2020-09-22T02:41,14.24,14.24,14.24,14.24,1270
2020-09-22T02:48,14.23,14.23,14.23,14.23,210
2020-09-22T03:12,14.24,14.24,14.24,14.24,710
2020-09-22T03:14,14.24,14.24,14.24,14.24,500
2020-09-22T03:17,14.24,14.24,14.24,14.24,9270
2020-09-22T03:36,14.27,14.27,14.27,14.27,1170
2020-09-22T03:43,14.28,14.28,14.28,14.28,1070
2020-09-22T03:52,14.28,14.28,14.28,14.28,7000
2020-09-22T03:55,14.28,14.28,14.28,14.28,2000
2020-09-22T04:04,14.28,14.28,14.28,14.28,200
2020-09-22T04:06,14.28,14.28,14.28,14.28,1000
2020-09-22T04:07,14.28,14.28,14.28,14.28,10
2020-09-22T04:15,14.28,14.28,14.28,14.28,790
2020-09-22T06:00,14.28,14.28,14.28,14.28,1000
2020-09-22T06:02,14.28,14.28,14.28,14.28,10
2020-09-22T06:03,14.28,14.28,14.28,14.28,19780
2020-09-22T06:05,14.28,14.28,14.28,14.28,2210
2020-09-22T06:07,14.28,14.28,14.28,14.28,150
2020-09-22T06:08,14.28,14.29,14.28,14.29,300
2020-09-22T06:10,14.3,14.3,14.3,14.3,6000
2020-09-22T06:15,14.29,14.29,14.29,14.29,3500
2020-09-22T06:17,14.29,14.29,14.29,14.29,500
2020-09-22T06:23,14.29,14.29,14.29,14.29,1900
2020-09-22T06:24,14.29,14.29,14.29,14.29,3000
2020-09-22T06:29,14.28,14.28,14.28,14.28,3500
2020-09-22T06:32,14.28,14.28,14.28,14.28,3000
2020-09-22T06:35,14.27,14.27,14.27,14.27,500
2020-09-22T06:42,14.26,14.26,14.26,14.26,500
2020-09-22T06:43,14.25,14.25,14.25,14.25,700
2020-09-22T06:48,14.25,14.25,14.25,14.25,200
2020-09-22T06:52,14.25,14.25,14.25,14.25,300
2020-09-22T07:00,14.22,14.22,14.22,14.22,500
2020-09-22T07:46,14.3,14.3,14.3,14.3,70
2020-09-23T02:15,14.3,14.3,14.3,14.3,40
2020-09-23T02:16,14.3,14.3,14.3,14.3,120
2020-09-23T02:18,14.32,14.32,14.32,14.32,1400
2020-09-23T02:20,14.33,14.33,14.33,14.33,1000
2020-09-23T02:22,14.34,14.34,14.34,14.34,50
2020-09-23T02:26,14.39,14.39,14.39,14.39,40
2020-09-23T02:29,14.38,14.38,14.38,14.38,200
2020-09-23T02:48,14.35,14.37,14.35,14.37,3580
2020-09-23T02:53,14.37,14.37,14.37,14.37,40
2020-09-23T02:57,14.36,14.36,14.36,14.36,2000
2020-09-23T03:04,14.36,14.36,14.36,14.36,300
2020-09-23T03:11,14.35,14.35,14.35,14.35,59740
2020-09-23T03:15,14.37,14.37,14.37,14.37,200
2020-09-23T03:16,14.37,14.37,14.37,14.37,200
2020-09-23T03:22,14.38,14.38,14.38,14.38,2990
2020-09-23T03:30,14.38,14.38,14.38,14.38,1070
2020-09-23T03:33,14.38,14.38,14.38,14.38,50
2020-09-23T03:35,14.39,14.39,14.39,14.39,1000
2020-09-23T03:44,14.38,14.38,14.38,14.38,3910
2020-09-23T03:59,14.38,14.38,14.38,14.38,100
2020-09-23T04:09,14.38,14.38,14.38,14.38,10000
2020-09-23T04:10,14.38,14.38,14.38,14.38,10400
2020-09-23T04:15,14.37,14.37,14.37,14.37,5000
2020-09-23T04:22,14.35,14.35,14.35,14.35,100
2020-09-23T06:19,14.35,14.35,14.35,14.35,1500
2020-09-23T06:39,14.36,14.36,14.36,14.36,101580
2020-09-23T06:54,14.36,14.36,14.36,14.36,200
2020-09-23T07:06,14.37,14.37,14.37,14.37,100
2020-09-23T07:08,14.38,14.38,14.38,14.38,20
2020-09-23T07:09,14.38,14.38,14.38,14.38,25000
2020-09-23T07:10,14.38,14.38,14.38,14.38,7150
2020-09-23T07:12,14.37,14.37,14.37,14.37,10000
2020-09-23T07:14,14.37,14.37,14.37,14.37,700
2020-09-23T07:25,14.35,14.35,14.35,14.35,5000
2020-09-23T07:27,14.37,14.37,14.37,14.37,100
2020-09-23T07:28,14.37,14.37,14.37,14.37,90
2020-09-23T07:46,14.38,14.38,14.38,14.38,70
2020-09-24T02:15,14.38,14.38,14.38,14.38,260
2020-09-24T02:17,14.38,14.38,14.3,14.3,1100
2020-09-24T02:18,14.29,14.29,14.29,14.29,300
2020-09-24T02:26,14.31,14.31,14.31,14.31,100
2020-09-24T02:28,14.35,14.35,14.35,14.35,1130
2020-09-24T02:32,14.32,14.32,14.32,14.32,1000
2020-09-24T02:36,14.32,14.32,14.32,14.32,100000
2020-09-24T02:38,14.33,14.33,14.33,14.33,250
2020-09-24T02:44,14.33,14.33,14.33,14.33,50000
2020-09-24T03:03,14.31,14.31,14.31,14.31,18900
2020-09-24T03:06,14.32,14.32,14.32,14.32,400000
2020-09-24T03:15,14.32,14.32,14.32,14.32,1000
2020-09-24T03:17,14.3,14.3,14.3,14.3,1510
2020-09-24T03:48,14.31,14.31,14.31,14.31,290
2020-09-24T04:17,14.36,14.36,14.36,14.36,7000
2020-09-24T04:23,14.35,14.35,14.35,14.35,100
2020-09-24T04:24,14.35,14.35,14.35,14.35,4000
2020-09-24T06:00,14.35,14.35,14.35,14.35,33900
2020-09-24T06:09,14.36,14.36,14.36,14.36,150
2020-09-24T06:14,14.35,14.35,14.35,14.35,50000
2020-09-24T06:46,14.3,14.3,14.3,14.3,2000
2020-09-24T06:47,14.29,14.29,14.29,14.29,100
2020-09-24T06:50,14.28,14.28,14.28,14.28,10010
2020-09-24T06:51,14.28,14.28,14.27,14.27,10490
2020-09-24T07:14,14.27,14.27,14.27,14.27,50
2020-09-24T07:46,14.3,14.3,14.3,14.3,600
2020-09-25T02:15,14.3,14.3,14.3,14.3,5860
2020-09-25T02:21,14.33,14.33,14.33,14.33,200
2020-09-25T02:27,14.34,14.34,14.33,14.33,400
2020-09-25T02:28,14.33,14.33,14.33,14.33,200
2020-09-25T02:31,14.33,14.33,14.33,14.33,1000
2020-09-25T02:42,14.33,14.33,14.33,14.33,90
2020-09-25T03:02,14.3,14.3,14.3,14.3,150
2020-09-25T03:07,14.29,14.29,14.29,14.29,260
2020-09-25T03:18,14.3,14.3,14.3,14.3,1600
